Case,Method,TimeStepS,FoldedAngleRad,ReleaseTimeS,CablePretensionN,TrajectoryRelativeError,EventTimeS,EventTimeRelativeError,EventCount,ReferenceEventCount,MissedEventCount,SimultaneousEventCount,GrazingEventCount,NormalImpulse,ImpulseRelativeError,PostimpactNormalVelocity,PostimpactVelocityRelativeError,MaximumConstraintDrift,MaximumRelativeEnergyBalanceError,MaximumImpactMomentumDefect,MaximumImpactRestitutionDefect,RelativeGlobalMomentumBalanceError,PeakInterfaceMomentNm,RuntimeSeconds,AllStepsConverged
grazing-contact,generalized-alpha-end-detection,0.0125,0.3,0.02,4.929736667830245,0.0007991459415998251,0.48250000000000026,0.002563222582967327,1,1,0,0,0,0.00038577016715012356,nan,0.0010204184538518228,nan,2.113916128893595e-05,0.0003509577406946,1.0844413843848498e-19,6.505213034913027e-19,0.0001781604162366245,0.00042381669575613417,0.08671599999797763,True
grazing-contact,generalized-alpha-end-detection,0.00625,0.3,0.02,4.929736667830245,0.00020053571460328825,0.4824999999999993,0.0025632225829653665,1,1,0,0,0,0.0003556168491691054,nan,0.0009406585223361262,nan,2.6184711866353888e-05,0.0003636463734368549,5.438070574849464e-20,0.0,4.5124543599577356e-05,0.00042381669575613417,0.15675860000192188,True
grazing-contact,generalized-alpha-end-detection,0.003125,0.3,0.02,4.929736667830245,5.0333740213959525e-05,0.4824999999999988,0.0025632225829643283,1,1,0,0,0,0.00034837848721320033,nan,0.0009215119974245976,nan,2.7335861381862653e-05,0.00036692536984243927,3.2070439877134425e-21,3.2526065174565133e-19,5.115436539759299e-06,0.00042381669575613417,0.3976087000046391,True
grazing-contact,generalized-alpha-end-detection,0.0015625,0.3,0.02,4.929736667830245,1.2540718687851983e-05,0.48250000000000265,0.0025632225829722867,1,1,0,0,0,0.00034651045284949213,nan,0.0009165707736092897,nan,2.7667909615214552e-05,0.00036861700611751915,3.563477181927077e-21,5.421010862427522e-19,2.040283181670693e-06,0.00042381669575613417,0.6551869000031729,True
grazing-contact,step-end-velocity-projection,0.0125,0.3,0.02,4.929736667830245,0.0007303764879898613,0.48250000000000026,0.002563222582967327,1,1,0,0,0,0.0003626649549756577,nan,0.0,nan,2.263271140201797e-05,0.0006948008525476478,1.0844043818454311e-19,0.0,3.090921059183708e-05,0.00042381669575613417,0.08844619999581482,True
grazing-contact,step-end-velocity-projection,0.00625,0.3,0.02,4.929736667830245,0.00018335956709105095,0.4824999999999993,0.0025632225829653665,1,1,0,0,0,0.00033750389386588914,nan,0.0,nan,2.643278372546342e-05,0.0006927090707490608,5.437389280164181e-20,0.0,1.8039165053708458e-05,0.00042381669575613417,0.16101179999532178,True
grazing-contact,step-end-velocity-projection,0.003125,0.3,0.02,4.929736667830245,4.605343485624388e-05,0.4824999999999988,0.0025632225829643283,1,1,0,0,0,0.0003315066859598534,nan,0.0,nan,2.7398311386169434e-05,0.0006935811981207205,5.429693286774795e-20,0.0,9.34788246976471e-06,0.00042381669575613417,0.3060364999982994,True
grazing-contact,step-end-velocity-projection,0.0015625,0.3,0.02,4.929736667830245,1.1471762928370885e-05,0.48250000000000265,0.0025632225829722867,1,1,0,0,0,0.0003299353825827975,nan,0.0,nan,2.7682245539374383e-05,0.0006943008743658805,1.0851059699741869e-19,0.0,4.72220712978607e-06,0.00042381669575613417,0.7352067999963765,True
grazing-contact,event-localized-impulse-newmark,0.0125,0.3,0.02,4.929736667830245,0.0007219148202781968,0.4815332017571748,0.000554359656719336,1,1,0,0,1,nan,nan,nan,nan,0.0,3.5873227520484346e-07,0.0,0.0,1.788451186683331e-08,0.00042381669575613417,0.11920869999448769,True
grazing-contact,event-localized-impulse-newmark,0.00625,0.3,0.02,4.929736667830245,0.0001818365829831556,0.4813364578479598,0.00014555508128691875,1,1,0,0,1,nan,nan,nan,nan,0.0,9.446319432064196e-08,0.0,0.0,4.952690044687288e-10,0.00042381669575613417,0.14836359999753768,True
